Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2024-10-18 01:00:00,0.713,0.722,0.713,0.72,280625.76,2024-10-18 01:59:59.999,201289.60832,2337,99159.53,71152.37519
2024-10-18 02:00:00,0.721,0.731,0.72,0.728,400330.17,2024-10-18 02:59:59.999,290363.66432,2483,180268.02,130890.75461
2024-10-18 03:00:00,0.728,0.728,0.72,0.721,236822.15,2024-10-18 03:59:59.999,171595.47032,1614,85366.46,61859.81069
2024-10-18 04:00:00,0.721,0.727,0.721,0.724,144249.97,2024-10-18 04:59:59.999,104594.12562,1269,54060.16,39200.00497
2024-10-18 05:00:00,0.725,0.728,0.723,0.728,283046.26,2024-10-18 05:59:59.999,205526.92812,1354,140119.41,101819.22719
2024-10-18 06:00:00,0.728,0.733,0.727,0.73,189281.94,2024-10-18 06:59:59.999,138192.55581,1384,69392.62,50659.27923
2024-10-18 07:00:00,0.73,0.732,0.725,0.729,199603.74,2024-10-18 07:59:59.999,145489.85898,1477,93408.56,68110.78484
2024-10-18 08:00:00,0.729,0.732,0.727,0.729,240408.13,2024-10-18 08:59:59.999,175257.16489,2031,86369.05,62984.19665
2024-10-18 09:00:00,0.729,0.73,0.724,0.725,195431.83,2024-10-18 09:59:59.999,142092.3083,1651,58689.25,42662.89937
2024-10-18 10:00:00,0.725,0.73,0.724,0.73,100215.61,2024-10-18 10:59:59.999,72921.8105,1072,57626.65,41953.25838
2024-10-18 11:00:00,0.73,0.731,0.725,0.726,123805.96,2024-10-18 11:59:59.999,90205.36791,1017,58151.75,42390.62092
2024-10-18 12:00:00,0.726,0.732,0.718,0.719,188813.31,2024-10-18 12:59:59.999,136967.43547,1739,71542.36,51911.79474
2024-10-18 13:00:00,0.72,0.726,0.72,0.724,317279.73,2024-10-18 13:59:59.999,229403.64662,2422,163554.85,118271.88964
2024-10-18 14:00:00,0.725,0.729,0.719,0.727,435919.82,2024-10-18 14:59:59.999,315730.20254,2805,222331.14,161037.5602
2024-10-18 15:00:00,0.728,0.731,0.725,0.726,266084.76,2024-10-18 15:59:59.999,193862.61095,2437,127299.22,92773.8813
2024-10-18 16:00:00,0.727,0.737,0.721,0.735,586012.96,2024-10-18 16:59:59.999,428056.5953,3110,298327.89,218219.45024
2024-10-18 17:00:00,0.735,0.739,0.734,0.735,461231.06,2024-10-18 17:59:59.999,339914.97965,1836,253586.22,187023.12233
