shopid,docno,docdatetime,perioddatetime,barcode,unitcode,qty,price,discount,whcode,locationcode,sumofcost,discountamount,sumamount,branchid
2V6bwaTAjO5Uz9DYDWxiihHjpQw,473b28eb-eac5-4bd2-9f9d-fe17175d4492,2023-09-09T02:02:11,2023-09-09T02:02:11,8858669408314,,1.0,20.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,57f1609a-75b6-42c8-beb7-6123d1ea682d,2023-09-09T03:36:34,2023-09-09T03:36:34,8850231840355,,1.0,49.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,57f1609a-75b6-42c8-beb7-6123d1ea682d,2023-09-09T03:36:34,2023-09-09T03:36:34,8851952350161,,5.0,10.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0088c8bb-2dc9-41e7-b403-a7ddf4b0b3ce,2023-09-09T03:36:34,2023-09-09T03:36:34,8850231840355,,1.0,49.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0088c8bb-2dc9-41e7-b403-a7ddf4b0b3ce,2023-09-09T03:36:34,2023-09-09T03:36:34,8851952350161,,5.0,10.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,41b5ceeb-3bea-4ce2-b2bd-11c10716f5a3,2023-09-09T03:44:26,2023-09-09T03:44:26,8851959149010,,1.0,23.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,41b5ceeb-3bea-4ce2-b2bd-11c10716f5a3,2023-09-09T03:44:26,2023-09-09T03:44:26,8852099010215,,1.0,95.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,b51c13fd-1ae3-452c-8e21-90ff9e4bcf54,2023-09-09T03:47:24,2023-09-09T03:47:24,8850238092214,,1.0,47.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,b51c13fd-1ae3-452c-8e21-90ff9e4bcf54,2023-09-09T03:47:24,2023-09-09T03:47:24,7622210607300,,1.0,97.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,e57c645f-f3f9-4c6c-8971-e6b7984e8692,2023-09-09T05:09:27,2023-09-09T05:09:27,2000004857356,,1.0,32.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,e57c645f-f3f9-4c6c-8971-e6b7984e8692,2023-09-09T05:09:27,2023-09-09T05:09:27,8851952118075,,1.0,22.0,,,,0.0,0.0,0.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,8851952118075,,2.0,22.0,,,,0.0,0.0,44.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,2000004857356,,1.0,32.0,,,,0.0,0.0,32.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,8851351011502,,1.0,119.0,,,,0.0,0.0,119.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,3415581139181,,1.0,109.0,,,,0.0,0.0,109.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,2000007673014,,1.0,249.0,,,,0.0,0.0,249.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,8851770473653,,1.0,295.0,,,,0.0,0.0,295.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,2000007640160,,1.0,253.0,,,,0.0,0.0,253.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,2000007827783,,1.0,149.0,,,,0.0,0.0,149.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,2000007348295,,1.0,400.0,,,,0.0,0.0,400.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0012311270001,2023-11-27T08:54:06,2023-11-27T08:54:06,8859153807583,,1.0,29.0,,,,0.0,0.0,29.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311270001,2023-11-27T09:40:09,2023-11-27T09:40:09,8851959132166,,1.0,16.0,,,,0.0,0.0,16.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311270001,2023-11-27T09:40:09,2023-11-27T09:40:09,8851959132173,,1.0,16.0,,,,0.0,0.0,16.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311270001,2023-11-27T09:40:09,2023-11-27T09:40:09,8851959132364,,1.0,16.0,,,,0.0,0.0,16.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311270001,2023-11-27T09:40:09,2023-11-27T09:40:09,8850007811657,,1.0,149.0,,,,0.0,0.0,149.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311280002,2023-11-28T01:54:10,2023-11-28T01:54:10,8994755030554,,1.0,52.0,,,,0.0,0.0,52.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311280002,2023-11-28T01:54:10,2023-11-28T01:54:10,6956588500415,,1.0,18.0,,,,0.0,0.0,18.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311280002,2023-11-28T01:54:10,2023-11-28T01:54:10,8851004102601,,1.0,48.0,,,,0.0,0.0,48.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311280002,2023-11-28T01:54:10,2023-11-28T01:54:10,2000007346338,,1.0,200.0,,,,0.0,0.0,200.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311280002,2023-11-28T01:54:10,2023-11-28T01:54:10,8850309203242,,1.0,47.0,,,,0.0,0.0,47.0,
2V6bwaTAjO5Uz9DYDWxiihHjpQw,0022311280002,2023-11-28T01:54:10,2023-11-28T01:54:10,8851004102601,,1.0,48.0,,,,0.0,0.0,48.0,
