cust_code,customer_name,doc_date,total_amount
นน-41,กอยิ่งเจริญ,2014-04-27,1200.00
นน-158,กิจเจริญออโต้แอร์ (รัตนา),2014-01-02,1300.00
นน-156,อู่ณัฐ,2014-01-02,1000.00
151,สด,2014-01-13,1000.00
กท-25,นทีทอง ออโต้แอร์,2014-01-02,1000.00
นน-67,ชัยฤทธิ์แอร์,2014-01-02,750.00
นน-159,ทีเอส ออโต้ เซอร์วิส (โฟล์ค รัตนา),2014-06-13,610.00
กท-50,นิวสยามแอร์   3   แคราย,2014-01-02,1700.00
นน-73,N.K AUTO AIR,2014-01-05,3750.00
นน-07,โชคชัยออโต้แอร์,2014-02-10,850.00
นน-43,เล็กเซอร์วิส,2014-01-09,1000.00
กท-06,บริษัท อีซูซุอึ้งง่วนไต๋ออโตเซลส์ จำกัด (สาขากัลปพฤกษ์),2014-05-30,2500.00
นน-121,(ยกเลิก) R-MOTER,2014-01-03,5050.00
กท-06,บริษัท อีซูซุอึ้งง่วนไต๋ออโตเซลส์ จำกัด (สาขากัลปพฤกษ์),2014-05-30,250.00
นน-68,ท.การช่าง,2014-03-24,1800.00
กท-43,นิวสยามแอร์,2014-01-03,10260.00
นน-63,ยาวไดนาโมแอร์,2014-01-03,1000.00
นน-13,ธนกฤตแอร์,2014-01-03,2000.00
นน-67,ชัยฤทธิ์แอร์,2014-01-03,2920.00
กท-50,นิวสยามแอร์   3   แคราย,2014-01-03,493.84
151,สด,2014-01-31,3850.00
นน-68,ท.การช่าง,2014-03-18,250.00
นน-41,กอยิ่งเจริญ,2014-01-03,400.00
กท-25,นทีทอง ออโต้แอร์,2014-01-03,2542.32
กท-01,สุเทพอะไหล่แอร์,2014-01-03,1100.00
นน-43,เล็กเซอร์วิส,2014-01-13,450.00
นน-63,ยาวไดนาโมแอร์,2014-01-13,350.00
นน-01,ต.เจริญ แอร์ แอนด์ ซาวด์,2014-01-02,10352.00
นน-73,N.K AUTO AIR,2014-01-03,1750.00
นน-07,โชคชัยออโต้แอร์,2014-02-10,2700.00
กท-50,นิวสยามแอร์   3   แคราย,2014-01-02,8786.00
กท-50,นิวสยามแอร์   3   แคราย,2014-01-03,480.00
นน-32,ต้อย ไดนาโม,2014-02-01,2150.00
นน-73,N.K AUTO AIR,2014-01-13,2000.00
กท-50,นิวสยามแอร์   3   แคราย,2014-01-28,6658.36
