ชื่ออาหาร,จำนวน,ราคา,มูลค่า
หมกหน่อไม้,4,136,544
ลาบหมู,3,74,222
แกงอ่อม,4,63,252
แจ่วบอง,2,33,66
ลาบหมู,1,101,101
แจ่วบอง,1,113,113
ซุปหน่อไม้,3,61,183
ตำไทย,5,74,370
ตำไทย,3,52,156
ปลาร้าบอง,1,64,64
ตำปู,5,148,740
ไส้กรอกอีสาน,3,130,390
ไก่ย่าง,1,67,67
ปลาดุกย่าง,2,86,172
ปลาร้าบอง,1,74,74
ต้มแซ่บ,1,126,126
ก้อยปลา,5,126,630
ต้มแซ่บ,3,68,204
ไก่ย่าง,2,39,78
ปลาดุกย่าง,1,150,150
ซุปหน่อไม้,2,149,298
หมกหน่อไม้,4,55,220
ไก่ย่าง,4,37,148
ข้าวจี่,3,85,255
ลาบหมู,4,129,516
ตำไทย,3,138,414
แหนม,5,118,590
ไก่ย่าง,1,135,135
ลาบหมู,3,107,321
ก้อยปลา,2,62,124
ตำปู,4,78,312
ก้อยปลา,1,48,48
ไส้กรอกอีสาน,4,137,548
หมกหน่อไม้,3,67,201
น้ำตกหมู,4,34,136
ตำแตง,3,91,273
ไส้กรอกอีสาน,5,109,545
ปลาร้าบอง,4,44,176
ไส้กรอกอีสาน,4,88,352
ไก่ย่าง,5,59,295
น้ำตกหมู,2,126,252
หมูยอ,3,96,288
น้ำตกหมู,5,41,205
ไส้กรอกอีสาน,4,102,408
ปลาร้าบอง,1,77,77
ข้าวเหนียว,5,77,385
ไส้กรอกอีสาน,4,93,372
ปลาร้าบอง,5,111,555
ตำแตง,2,48,96
ก้อยปลา,5,34,170
ต้มแซ่บ,4,109,436
ตำไทย,5,76,380
ลาบหมู,1,69,69
ไก่ย่าง,1,35,35
ปลาดุกย่าง,2,43,86
ปลาดุกย่าง,1,129,129
ข้าวเหนียว,2,141,282
ก้อยปลา,5,72,360
ข้าวจี่,3,129,387
ต้มแซ่บ,2,62,124
ไก่ย่าง,2,89,178
ส้มตำ,4,102,408
ไก่ย่าง,5,132,660
ก้อยปลา,1,66,66
ปลาร้าบอง,3,105,315
ตำแตง,1,46,46
ตำปู,2,43,86
ตำแตง,2,142,284
หมูยอ,4,36,144
ข้าวจี่,2,55,110
ไก่ย่าง,5,140,700
ไส้กรอกอีสาน,3,58,174
ไก่ย่าง,3,38,114
ตำไทย,5,64,320
ปลาดุกย่าง,2,49,98
หมกหน่อไม้,4,90,360
หมูยอ,3,64,192
ตำปู,4,129,516
ปลาดุกย่าง,3,143,429
ลาบหมู,3,97,291
ไก่ย่าง,1,126,126
ส้มตำ,2,45,90
ปลาร้าบอง,4,50,200
แหนม,1,41,41
ก้อยปลา,4,118,472
น้ำตกหมู,5,120,600
ตำไทย,3,99,297
ไก่ย่าง,1,140,140
ปลาร้าบอง,2,76,152
ไส้กรอกอีสาน,4,100,400
ตำไทย,2,71,142
แกงอ่อม,3,37,111
ปลาร้าบอง,2,39,78
ข้าวจี่,4,145,580
ตำปู,2,89,178
ข้าวจี่,1,93,93
น้ำตกหมู,1,138,138
ก้อยปลา,4,140,560
ส้มตำ,1,48,48
ตำไทย,2,62,124
ปลาร้าบอง,3,131,393
ปลาดุกย่าง,5,62,310
ก้อยปลา,2,79,158
หมกหน่อไม้,3,112,336
แจ่วบอง,3,150,450
ตำไทย,3,56,168
ก้อยปลา,3,89,267
หมกหน่อไม้,1,84,84
น้ำตกหมู,5,95,475
ข้าวจี่,1,108,108
หมกหน่อไม้,3,114,342
ปลาดุกย่าง,4,65,260
ข้าวจี่,1,95,95
ลาบหมู,2,64,128
ต้มแซ่บ,4,50,200
แหนม,5,79,395
ก้อยปลา,4,131,524
ตำปู,4,85,340
ปลาดุกย่าง,3,98,294
ไก่ย่าง,3,71,213
ข้าวจี่,5,131,655
แกงอ่อม,5,139,695
ตำปู,4,134,536
ต้มแซ่บ,5,100,500
แจ่วบอง,5,130,650
ส้มตำ,5,76,380
ไก่ย่าง,3,139,417
ไส้กรอกอีสาน,5,94,470
ก้อยปลา,2,115,230
ซุปหน่อไม้,2,144,288
