===== สรุปผลการสแกนตลาด 2025-05-03 08:43:27 =====

สัญญาที่สแกน: 50
สัญญาณ BUY: 15
สัญญาณ SELL: 6
สัญญาณ HOLD: 29

===== เหรียญทั้งหมดเรียงตามคะแนนจากมากไปน้อย =====
1. 🟢 HAEDALUSDT (คะแนน: 10.0) - ราคา: 0.188621 | Entry: 0.182132 | SL: 0.151000 | TP: 0.208800 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.175900, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
2. 🟢 AIOTUSDT (คะแนน: 10.0) - ราคา: 0.395290 | Entry: 0.322880 | SL: 0.235720 | TP: 0.402000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.309300, เมื่อ 8 แท่งที่แล้ว, ยังไม่มี retest
3. 🟡 AERGOUSDT (คะแนน: 10.0) - ราคา: 0.189700 - แตกแนวรับลงมา ที่ราคา 0.159602, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
4. 🟢 STOUSDT (คะแนน: 10.0) - ราคา: 0.201120 | Entry: 0.156749 | SL: 0.118150 | TP: 0.182940 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.150027, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest
5. 🟢 PENGUUSDT (คะแนน: 10.0) - ราคา: 0.011648 | Entry: 0.011836 | SL: 0.010444 | TP: 0.012785 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.011587, เมื่อ 10 แท่งที่แล้ว, ยังไม่มี retest
6. 🟢 AVAAIUSDT (คะแนน: 10.0) - ราคา: 0.073790 | Entry: 0.067429 | SL: 0.061734 | TP: 0.075720 | R:R 1:1.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.066005, เมื่อ 14 แท่งที่แล้ว, ยังไม่มี retest
7. 🟡 LAYERUSDT (คะแนน: 10.0) - ราคา: 2.814000 - แตกแนวต้านขึ้นไป ที่ราคา 2.982733, เมื่อ 27 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
8. 🟡 AI16ZUSDT (คะแนน: 10.0) - ราคา: 0.291000 - แตกแนวต้านขึ้นไป ที่ราคา 0.309000, เมื่อ 28 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
9. 🟡 IMXUSDT (คะแนน: 10.0) - ราคา: 0.625500 - แตกแนวต้านขึ้นไป ที่ราคา 0.627550, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
10. 🟢 PNUTUSDT (คะแนน: 10.0) - ราคา: 0.182920 | Entry: 0.184788 | SL: 0.174450 | TP: 0.189420 | R:R 1:0.4 - แตกแนวต้านขึ้นไป ที่ราคา 0.182533, เมื่อ 5 แท่งที่แล้ว, ยังไม่มี retest
11. 🔴 TIAUSDT (คะแนน: 10.0) - ราคา: 2.519500 | Entry: 2.587867 | SL: 2.662667 | TP: 2.566100 | R:R 1:0.3 - แตกแนวรับลงมา ที่ราคา 2.606567, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
12. 🟢 HIGHUSDT (คะแนน: 9.8) - ราคา: 0.639900 | Entry: 0.620839 | SL: 0.574082 | TP: 0.676100 | R:R 1:1.2 - แตกแนวต้านขึ้นไป ที่ราคา 0.609150, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
13. 🟢 VINEUSDT (คะแนน: 8.9) - ราคา: 0.048240 | Entry: 0.047703 | SL: 0.041196 | TP: 0.053530 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.046077, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
14. 🟡 WALUSDT (คะแนน: 8.9) - ราคา: 0.555400 - แตกแนวต้านขึ้นไป ที่ราคา 0.669225, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
15. 🟢 CHILLGUYUSDT (คะแนน: 8.9) - ราคา: 0.051970 | Entry: 0.045599 | SL: 0.041255 | TP: 0.052400 | R:R 1:1.6 - แตกแนวต้านขึ้นไป ที่ราคา 0.044513, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
16. 🟢 PUNDIXUSDT (คะแนน: 8.7) - ราคา: 0.574600 | Entry: 0.585721 | SL: 0.504700 | TP: 0.628400 | R:R 1:0.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.570900, เมื่อ 4 แท่งที่แล้ว, ยังไม่มี retest
17. 🟢 EOSUSDT (คะแนน: 8.5) - ราคา: 0.712000 | Entry: 0.708750 | SL: 0.689750 | TP: 0.725000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.704000, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
18. 🟢 BROCCOLI714USDT (คะแนน: 8.4) - ราคา: 0.039860 | Entry: 0.036341 | SL: 0.033107 | TP: 0.041700 | R:R 1:1.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.035533, เมื่อ 7 แท่งที่แล้ว, ยังไม่มี retest
19. 🟡 FILUSDT (คะแนน: 8.4) - ราคา: 2.776000 - แตกแนวต้านขึ้นไป ที่ราคา 2.881333, เมื่อ 17 แท่งที่แล้ว, ยังไม่มี retest
20. 🔴 1000PEPEUSDT (คะแนน: 8.1) - ราคา: 0.008493 | Entry: 0.008595 | SL: 0.008863 | TP: 0.008547 | R:R 1:0.2 - แตกแนวรับลงมา ที่ราคา 0.008662, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest
21. 🟡 ONDOUSDT (คะแนน: 8.0) - ราคา: 0.904500 - แตกแนวรับลงมา ที่ราคา 0.901100, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
22. 🔴 OMUSDT (คะแนน: 7.9) - ราคา: 0.423740 | Entry: 0.443562 | SL: 0.461274 | TP: 0.441180 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.447990, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
23. 🟡 ADAUSDT (คะแนน: 7.8) - ราคา: 0.692300 - แตกแนวต้านขึ้นไป ที่ราคา 0.717633, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
