===== สรุปผลการสแกนตลาด 2025-05-03 09:06:11 =====

สัญญาที่สแกน: 150
สัญญาณ BUY: 22
สัญญาณ SELL: 17
สัญญาณ HOLD: 111

===== เหรียญทั้งหมดเรียงตามคะแนนจากมากไปน้อย =====
1. 🟢 AIOTUSDT (คะแนน: 10.0) - ราคา: 0.388390 | Entry: 0.323924 | SL: 0.235720 | TP: 0.402000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.309300, เมื่อ 9 แท่งที่แล้ว, ยังไม่มี retest
2. 🟢 HAEDALUSDT (คะแนน: 10.0) - ราคา: 0.196085 | Entry: 0.182245 | SL: 0.151000 | TP: 0.208800 | R:R 1:0.8 - แตกแนวต้านขึ้นไป ที่ราคา 0.175900, เมื่อ 3 แท่งที่แล้ว, ยังไม่มี retest
3. 🟢 AERGOUSDT (คะแนน: 10.0) - ราคา: 0.192790 | Entry: 0.175723 | SL: 0.160570 | TP: 0.206030 | R:R 1:2.0 - แตกแนวต้านขึ้นไป ที่ราคา 0.172715, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
4. 🟢 STOUSDT (คะแนน: 10.0) - ราคา: 0.204890 | Entry: 0.156434 | SL: 0.118150 | TP: 0.182940 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.150027, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
5. 🟡 AI16ZUSDT (คะแนน: 10.0) - ราคา: 0.287500 - แตกแนวต้านขึ้นไป ที่ราคา 0.309000, เมื่อ 29 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
6. 🟡 PENGUUSDT (คะแนน: 10.0) - ราคา: 0.011499 - แตกแนวต้านขึ้นไป ที่ราคา 0.011587, เมื่อ 11 แท่งที่แล้ว, ยังไม่มี retest
7. 🟡 LAYERUSDT (คะแนน: 10.0) - ราคา: 2.808700 - แตกแนวต้านขึ้นไป ที่ราคา 2.982733, เมื่อ 28 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
8. 🟢 AVAAIUSDT (คะแนน: 10.0) - ราคา: 0.073940 | Entry: 0.067365 | SL: 0.061925 | TP: 0.075720 | R:R 1:1.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.066005, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest
9. 🟡 IMXUSDT (คะแนน: 10.0) - ราคา: 0.622600 - แตกแนวต้านขึ้นไป ที่ราคา 0.627550, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
10. 🔴 TIAUSDT (คะแนน: 10.0) - ราคา: 2.528600 | Entry: 2.589727 | SL: 2.659300 | TP: 2.566100 | R:R 1:0.3 - แตกแนวรับลงมา ที่ราคา 2.606567, เมื่อ 19 แท่งที่แล้ว, ยังไม่มี retest
11. 🟢 BMTUSDT (คะแนน: 10.0) - ราคา: 0.144600 | Entry: 0.144600 | SL: 0.137100 | TP: 0.147900 | R:R 1:0.4 - แตกแนวต้านขึ้นไป ที่ราคา 0.143400, เมื่อ 7 แท่งที่แล้ว, retest แนวต้านเดิม สำเร็จ
12. 🟡 SWARMSUSDT (คะแนน: 10.0) - ราคา: 0.032690 - แตกแนวต้านขึ้นไป ที่ราคา 0.035967, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
13. 🟡 FUNUSDT (คะแนน: 10.0) - ราคา: 0.004693 - แตกแนวต้านขึ้นไป ที่ราคา 0.005616, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
14. 🔴 REZUSDT (คะแนน: 10.0) - ราคา: 0.013520 | Entry: 0.013520 | SL: 0.014470 | TP: 0.013380 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.013627, เมื่อ 7 แท่งที่แล้ว, retest แนวรับเดิม สำเร็จ
15. 🟢 HIVEUSDT (คะแนน: 10.0) - ราคา: 0.272020 | Entry: 0.260357 | SL: 0.249435 | TP: 0.282199 | R:R 1:2.0 - แตกแนวต้านขึ้นไป ที่ราคา 0.257626, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
16. 🟡 MEWUSDT (คะแนน: 10.0) - ราคา: 0.003033 - แตกแนวต้านขึ้นไป ที่ราคา 0.003038, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
17. 🔴 TSTUSDT (คะแนน: 10.0) - ราคา: 0.063700 | Entry: 0.063700 | SL: 0.066857 | TP: 0.060600 | R:R 1:1.0 - แตกแนวรับลงมา ที่ราคา 0.065250, เมื่อ 23 แท่งที่แล้ว, retest แนวรับเดิม สำเร็จ
18. 🟢 KASUSDT (คะแนน: 10.0) - ราคา: 0.102100 | Entry: 0.101228 | SL: 0.097550 | TP: 0.103250 | R:R 1:0.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.100363, เมื่อ 6 แท่งที่แล้ว, ยังไม่มี retest
19. 🟢 RENDERUSDT (คะแนน: 10.0) - ราคา: 4.768000 | Entry: 4.768143 | SL: 4.603571 | TP: 4.887000 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 4.727000, เมื่อ 11 แท่งที่แล้ว, ยังไม่มี retest
20. 🟡 PERPUSDT (คะแนน: 10.0) - ราคา: 0.327500 - แตกแนวต้านขึ้นไป ที่ราคา 0.356150, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
21. 🟡 ALCHUSDT (คะแนน: 10.0) - ราคา: 0.172940 - แตกแนวต้านขึ้นไป ที่ราคา 0.183713, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
22. 🟡 WCTUSDT (คะแนน: 10.0) - ราคา: 0.380100 - แตกแนวต้านขึ้นไป ที่ราคา 0.396686, เมื่อ 16 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
23. 🟡 IPUSDT (คะแนน: 10.0) - ราคา: 3.953910 - แตกแนวต้านขึ้นไป ที่ราคา 4.168980, เมื่อ 25 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
24. 🟢 ATHUSDT (คะแนน: 10.0) - ราคา: 0.032530 | Entry: 0.032276 | SL: 0.031112 | TP: 0.033960 | R:R 1:1.4 - แตกแนวต้านขึ้นไป ที่ราคา 0.031985, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
25. 🔴 LPTUSDT (คะแนน: 10.0) - ราคา: 4.817000 | Entry: 4.915964 | SL: 5.159000 | TP: 4.809000 | R:R 1:0.4 - แตกแนวรับลงมา ที่ราคา 4.953250, เมื่อ 10 แท่งที่แล้ว, ยังไม่มี retest
